@relation highlypreprocessed-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6

@attribute id numeric
@attribute account_status {<0,0<=X<200,'no checking',>=200}
@attribute debt_status {'critical/other existing credit',paid,'delayed previously'}
@attribute credit_reason {radio/tv,education,furniture,car,business,repairs,other}
@attribute credit_amount {1K<=X<2K,5K<=X<10K,2K<=X<3K,4K<=X<5K,3K<=X<4K,X>=10K,X<1K}
@attribute savings_amount {0,<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute gender:family {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {X>=50,X<25,40<=X<50,30<=X<40,25<=X<30}
@attribute job_status {skilled,unskilled,'highly skilled'}
@attribute loan_status {yes,no}

@data
251,<0,'critical/other existing credit',car,X<1K,>=1000,4<=X<7,'female div/sep/mar',30<=X<40,unskilled,yes
252,>=200,paid,furniture,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
253,0<=X<200,paid,car,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
254,'no checking','delayed previously',furniture,4K<=X<5K,100<=X<500,1<=X<4,'male single',30<=X<40,skilled,yes
255,0<=X<200,paid,furniture,2K<=X<3K,0,4<=X<7,'male single',X<25,skilled,yes
256,0<=X<200,'delayed previously',radio/tv,5K<=X<10K,0,1<=X<4,'male single',25<=X<30,unskilled,yes
257,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
258,<0,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male div/sep',25<=X<30,skilled,no
259,'no checking',paid,car,3K<=X<4K,100<=X<500,<1,'female div/sep/mar',X<25,skilled,yes
260,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,100<=X<500,unemployed,'female div/sep/mar',X>=50,unskilled,yes
261,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
262,<0,paid,radio/tv,1K<=X<2K,<100,>=7,'female div/sep/mar',X>=50,skilled,yes
263,<0,'critical/other existing credit',car,5K<=X<10K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
264,'no checking','critical/other existing credit',education,2K<=X<3K,<100,>=7,'female div/sep/mar',X>=50,unskilled,yes
265,'no checking','critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',30<=X<40,unskilled,yes
266,0<=X<200,paid,radio/tv,X<1K,<100,>=7,'male single',30<=X<40,skilled,no
267,'no checking','critical/other existing credit',business,5K<=X<10K,0,>=7,'male single',30<=X<40,skilled,yes
268,'no checking',paid,radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,skilled,yes
269,<0,paid,car,5K<=X<10K,<100,>=7,'male div/sep',40<=X<50,'highly skilled',no
270,'no checking',paid,radio/tv,X<1K,0,>=7,'male single',25<=X<30,skilled,yes
271,'no checking',paid,car,2K<=X<3K,0,4<=X<7,'male single',30<=X<40,skilled,yes
272,'no checking','critical/other existing credit',furniture,1K<=X<2K,500<=X<1000,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
273,0<=X<200,paid,car,X>=10K,0,unemployed,'male single',30<=X<40,'highly skilled',yes
274,0<=X<200,paid,radio/tv,3K<=X<4K,<100,4<=X<7,'male single',25<=X<30,skilled,no
275,<0,paid,repairs,X>=10K,<100,<1,'male div/sep',30<=X<40,unskilled,no
276,'no checking',paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
277,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
278,<0,paid,furniture,1K<=X<2K,0,>=7,'male div/sep',40<=X<50,unskilled,yes
279,'no checking',paid,furniture,4K<=X<5K,<100,<1,'female div/sep/mar',30<=X<40,skilled,no
280,'no checking',paid,radio/tv,1K<=X<2K,100<=X<500,1<=X<4,'male single',25<=X<30,'highly skilled',yes
281,'no checking','critical/other existing credit',car,3K<=X<4K,>=1000,>=7,'male single',X<25,skilled,yes
282,'no checking',paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',X>=50,skilled,yes
283,>=200,paid,radio/tv,1K<=X<2K,0,4<=X<7,'male single',40<=X<50,unskilled,yes
284,'no checking','critical/other existing credit',furniture,1K<=X<2K,0,>=7,'male single',X>=50,skilled,yes
285,0<=X<200,'critical/other existing credit',car,3K<=X<4K,100<=X<500,<1,'male div/sep',30<=X<40,skilled,yes
286,<0,paid,car,X>=10K,<100,<1,'female div/sep/mar',30<=X<40,unskilled,yes
287,<0,paid,car,4K<=X<5K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
288,0<=X<200,'delayed previously',other,5K<=X<10K,100<=X<500,unemployed,'male single',30<=X<40,'highly skilled',yes
289,0<=X<200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',40<=X<50,skilled,yes
290,<0,'delayed previously',radio/tv,1K<=X<2K,<100,<1,'male mar/wid',40<=X<50,skilled,no
291,'no checking',paid,business,1K<=X<2K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
292,0<=X<200,paid,car,5K<=X<10K,<100,<1,'male mar/wid',25<=X<30,'highly skilled',no
293,<0,'critical/other existing credit',car,5K<=X<10K,<100,>=7,'female div/sep/mar',40<=X<50,'highly skilled',yes
294,>=200,'critical/other existing credit',car,4K<=X<5K,<100,>=7,'male single',X>=50,skilled,yes
295,'no checking','critical/other existing credit',business,5K<=X<10K,0,>=7,'male div/sep',40<=X<50,'highly skilled',yes
296,0<=X<200,paid,furniture,5K<=X<10K,<100,<1,'female div/sep/mar',25<=X<30,skilled,no
297,'no checking',paid,car,4K<=X<5K,0,<1,'female div/sep/mar',X<25,skilled,yes
298,'no checking',paid,car,1K<=X<2K,0,>=7,'male single',40<=X<50,unskilled,yes
299,'no checking',paid,furniture,2K<=X<3K,<100,1<=X<4,'male single',40<=X<50,skilled,yes
300,0<=X<200,'critical/other existing credit',furniture,2K<=X<3K,>=1000,4<=X<7,'male single',30<=X<40,skilled,yes
301,'no checking',paid,car,X<1K,<100,unemployed,'female div/sep/mar',X>=50,unskilled,yes
302,0<=X<200,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',40<=X<50,skilled,no
303,>=200,'critical/other existing credit',car,1K<=X<2K,0,4<=X<7,'male single',30<=X<40,unskilled,no
304,<0,'critical/other existing credit',car,1K<=X<2K,<100,4<=X<7,'male single',40<=X<50,skilled,yes
305,'no checking','critical/other existing credit',car,X>=10K,500<=X<1000,1<=X<4,'male single',40<=X<50,skilled,no
306,'no checking',paid,furniture,1K<=X<2K,>=1000,1<=X<4,'male div/sep',30<=X<40,skilled,yes
307,'no checking',paid,car,4K<=X<5K,0,4<=X<7,'female div/sep/mar',X<25,unskilled,yes
308,<0,paid,radio/tv,X<1K,100<=X<500,<1,'male mar/wid',30<=X<40,unskilled,no
309,0<=X<200,paid,furniture,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
310,0<=X<200,paid,car,X<1K,<100,1<=X<4,'male mar/wid',X<25,unskilled,yes
311,0<=X<200,paid,other,5K<=X<10K,0,unemployed,'male single',40<=X<50,unskilled,yes
312,'no checking',paid,furniture,5K<=X<10K,100<=X<500,1<=X<4,'male single',25<=X<30,skilled,yes
313,>=200,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
314,0<=X<200,paid,car,X<1K,<100,4<=X<7,'male mar/wid',25<=X<30,unskilled,no
315,>=200,paid,car,1K<=X<2K,0,<1,'male single',25<=X<30,unskilled,yes
316,<0,paid,furniture,2K<=X<3K,<100,>=7,'male single',30<=X<40,skilled,no
317,<0,paid,furniture,X<1K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
318,0<=X<200,paid,furniture,4K<=X<5K,0,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
319,'no checking','critical/other existing credit',education,X<1K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
320,<0,'delayed previously',furniture,3K<=X<4K,<100,>=7,'female div/sep/mar',25<=X<30,unskilled,yes
321,0<=X<200,'critical/other existing credit',car,4K<=X<5K,<100,unemployed,'male mar/wid',25<=X<30,'highly skilled',no
322,<0,paid,radio/tv,1K<=X<2K,<100,<1,'male div/sep',30<=X<40,skilled,no
323,<0,paid,car,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,'highly skilled',yes
324,<0,paid,furniture,2K<=X<3K,>=1000,1<=X<4,'male single',25<=X<30,skilled,yes
325,'no checking','critical/other existing credit',car,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
326,<0,'critical/other existing credit',car,3K<=X<4K,<100,4<=X<7,'male single',30<=X<40,unskilled,yes
327,'no checking','critical/other existing credit',furniture,5K<=X<10K,0,>=7,'male single',40<=X<50,skilled,yes
328,'no checking',paid,car,1K<=X<2K,>=1000,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
329,>=200,paid,radio/tv,4K<=X<5K,<100,>=7,'male single',30<=X<40,skilled,yes
330,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'male single',25<=X<30,skilled,yes
331,<0,'critical/other existing credit',car,5K<=X<10K,<100,unemployed,'male single',X>=50,'highly skilled',yes
332,'no checking','critical/other existing credit',education,1K<=X<2K,100<=X<500,1<=X<4,'female div/sep/mar',30<=X<40,skilled,no
333,0<=X<200,paid,car,5K<=X<10K,100<=X<500,<1,'female div/sep/mar',X<25,'highly skilled',no
334,'no checking','critical/other existing credit',car,X>=10K,100<=X<500,1<=X<4,'female div/sep/mar',X<25,unskilled,no
335,<0,paid,furniture,4K<=X<5K,<100,>=7,'male single',X<25,skilled,no
336,<0,'critical/other existing credit',furniture,3K<=X<4K,<100,1<=X<4,'male div/sep',40<=X<50,'highly skilled',no
337,0<=X<200,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',X<25,unskilled,yes
338,<0,paid,furniture,1K<=X<2K,0,1<=X<4,'female div/sep/mar',X<25,skilled,no
339,<0,paid,furniture,4K<=X<5K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
340,0<=X<200,paid,furniture,1K<=X<2K,<100,1<=X<4,'male div/sep',30<=X<40,unskilled,yes
341,0<=X<200,'critical/other existing credit',education,5K<=X<10K,<100,<1,'female div/sep/mar',X<25,skilled,yes
342,<0,paid,furniture,3K<=X<4K,<100,4<=X<7,'female div/sep/mar',25<=X<30,unskilled,yes
343,0<=X<200,paid,radio/tv,3K<=X<4K,500<=X<1000,<1,'male mar/wid',25<=X<30,skilled,yes
344,0<=X<200,paid,business,4K<=X<5K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
345,>=200,paid,car,3K<=X<4K,<100,<1,'male single',30<=X<40,unskilled,yes
346,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
347,0<=X<200,'critical/other existing credit',radio/tv,X<1K,<100,<1,'male single',X<25,skilled,yes
348,0<=X<200,paid,radio/tv,3K<=X<4K,500<=X<1000,unemployed,'female div/sep/mar',X<25,unskilled,yes
349,'no checking','delayed previously',business,1K<=X<2K,100<=X<500,1<=X<4,'male single',30<=X<40,unskilled,yes
350,0<=X<200,'critical/other existing credit',education,1K<=X<2K,>=1000,>=7,'male single',30<=X<40,skilled,no
351,'no checking',paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,yes
352,0<=X<200,paid,furniture,X<1K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
353,'no checking','critical/other existing credit',car,3K<=X<4K,0,unemployed,'male single',30<=X<40,'highly skilled',yes
354,<0,paid,radio/tv,5K<=X<10K,<100,1<=X<4,'male single',25<=X<30,skilled,no
355,'no checking',paid,education,X<1K,500<=X<1000,>=7,'male single',40<=X<50,skilled,yes
356,0<=X<200,paid,car,1K<=X<2K,<100,<1,'male single',X<25,unskilled,no
357,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,0,>=7,'male single',40<=X<50,skilled,yes
358,'no checking','delayed previously',radio/tv,4K<=X<5K,<100,1<=X<4,'male single',25<=X<30,'highly skilled',no
359,'no checking',paid,radio/tv,X<1K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
360,<0,paid,furniture,2K<=X<3K,<100,4<=X<7,'female div/sep/mar',X<25,skilled,no
361,0<=X<200,paid,education,1K<=X<2K,0,1<=X<4,'male single',X>=50,skilled,yes
362,>=200,paid,radio/tv,3K<=X<4K,0,>=7,'male single',30<=X<40,'highly skilled',yes
363,>=200,'delayed previously',car,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
364,'no checking',paid,furniture,1K<=X<2K,<100,1<=X<4,'male mar/wid',X<25,skilled,yes
365,<0,paid,furniture,2K<=X<3K,<100,unemployed,'male single',25<=X<30,unskilled,no
366,'no checking',paid,business,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
367,'no checking','critical/other existing credit',car,3K<=X<4K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
368,<0,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',X<25,skilled,yes
369,<0,paid,furniture,3K<=X<4K,<100,>=7,'male single',40<=X<50,skilled,no
370,0<=X<200,paid,furniture,3K<=X<4K,<100,4<=X<7,'female div/sep/mar',40<=X<50,skilled,yes
371,'no checking',paid,car,3K<=X<4K,0,1<=X<4,'male single',30<=X<40,skilled,yes
372,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,<100,>=7,'male single',30<=X<40,skilled,yes
373,'no checking','critical/other existing credit',furniture,2K<=X<3K,<100,<1,'female div/sep/mar',X<25,skilled,yes
374,'no checking','critical/other existing credit',car,X>=10K,0,>=7,'male single',X>=50,'highly skilled',yes
375,0<=X<200,paid,other,X>=10K,100<=X<500,>=7,'female div/sep/mar',X>=50,'highly skilled',no
376,<0,paid,business,5K<=X<10K,<100,4<=X<7,'female div/sep/mar',30<=X<40,skilled,no
377,'no checking','delayed previously',radio/tv,2K<=X<3K,<100,unemployed,'male mar/wid',30<=X<40,skilled,yes
378,'no checking','delayed previously',radio/tv,X<1K,0,>=7,'male single',30<=X<40,skilled,yes
379,0<=X<200,paid,car,X>=10K,<100,>=7,'male single',X>=50,'highly skilled',no
380,'no checking','critical/other existing credit',car,X<1K,100<=X<500,1<=X<4,'female div/sep/mar',X>=50,unskilled,yes
381,<0,paid,furniture,2K<=X<3K,0,4<=X<7,'male single',30<=X<40,skilled,yes
382,0<=X<200,paid,car,X>=10K,<100,unemployed,'female div/sep/mar',30<=X<40,'highly skilled',no
383,'no checking',paid,car,1K<=X<2K,0,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
384,>=200,paid,car,1K<=X<2K,<100,<1,'male single',25<=X<30,skilled,yes
385,'no checking','delayed previously',business,4K<=X<5K,100<=X<500,1<=X<4,'male single',25<=X<30,unskilled,yes
386,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
387,'no checking',paid,radio/tv,1K<=X<2K,0,<1,'female div/sep/mar',X<25,skilled,yes
388,0<=X<200,'critical/other existing credit',furniture,5K<=X<10K,<100,unemployed,'male single',40<=X<50,'highly skilled',yes
389,0<=X<200,'critical/other existing credit',business,2K<=X<3K,500<=X<1000,1<=X<4,'male single',25<=X<30,skilled,yes
390,'no checking',paid,business,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
391,'no checking',paid,car,1K<=X<2K,<100,1<=X<4,'male mar/wid',30<=X<40,'highly skilled',yes
392,0<=X<200,paid,furniture,X<1K,>=1000,<1,'female div/sep/mar',X<25,unskilled,yes
393,<0,paid,car,3K<=X<4K,<100,4<=X<7,'male single',30<=X<40,'highly skilled',yes
394,<0,'critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
395,'no checking','critical/other existing credit',furniture,2K<=X<3K,<100,unemployed,'male single',30<=X<40,'highly skilled',yes
396,0<=X<200,'delayed previously',education,X>=10K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
397,<0,paid,furniture,2K<=X<3K,<100,unemployed,'female div/sep/mar',X>=50,'highly skilled',yes
398,<0,'critical/other existing credit',furniture,2K<=X<3K,<100,1<=X<4,'male mar/wid',40<=X<50,skilled,yes
399,0<=X<200,paid,car,1K<=X<2K,<100,>=7,'male div/sep',40<=X<50,skilled,no
400,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,>=1000,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
401,'no checking',paid,radio/tv,1K<=X<2K,<100,<1,'male mar/wid',30<=X<40,skilled,yes
402,0<=X<200,'critical/other existing credit',business,1K<=X<2K,0,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
403,'no checking','delayed previously',business,5K<=X<10K,<100,<1,'male single',25<=X<30,skilled,no
404,'no checking','delayed previously',car,X<1K,<100,1<=X<4,'male single',25<=X<30,unskilled,yes
405,0<=X<200,'delayed previously',car,2K<=X<3K,0,>=7,'male single',40<=X<50,skilled,yes
406,0<=X<200,paid,radio/tv,2K<=X<3K,<100,<1,'male mar/wid',X<25,skilled,no
407,'no checking','critical/other existing credit',car,2K<=X<3K,0,4<=X<7,'male single',40<=X<50,skilled,yes
409,'no checking',paid,radio/tv,3K<=X<4K,500<=X<1000,>=7,'male div/sep',25<=X<30,'highly skilled',yes
410,>=200,'critical/other existing credit',car,X<1K,500<=X<1000,4<=X<7,'male mar/wid',25<=X<30,skilled,no
411,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'female div/sep/mar',X<25,skilled,yes
412,'no checking','critical/other existing credit',car,5K<=X<10K,<100,4<=X<7,'male single',30<=X<40,'highly skilled',yes
413,'no checking','critical/other existing credit',business,2K<=X<3K,<100,unemployed,'male single',40<=X<50,'highly skilled',no
414,'no checking',paid,car,1K<=X<2K,500<=X<1000,1<=X<4,'male single',40<=X<50,unskilled,yes
415,<0,paid,car,1K<=X<2K,0,1<=X<4,'female div/sep/mar',30<=X<40,skilled,no
416,'no checking','critical/other existing credit',car,5K<=X<10K,<100,>=7,'male single',30<=X<40,skilled,yes
417,<0,paid,car,2K<=X<3K,<100,<1,'male single',30<=X<40,unskilled,no
418,<0,'delayed previously',education,5K<=X<10K,0,1<=X<4,'female div/sep/mar',X<25,skilled,yes
419,'no checking',paid,car,2K<=X<3K,500<=X<1000,4<=X<7,'female div/sep/mar',30<=X<40,'highly skilled',yes
420,0<=X<200,paid,car,1K<=X<2K,0,1<=X<4,'female div/sep/mar',30<=X<40,skilled,no
421,'no checking',paid,car,3K<=X<4K,>=1000,4<=X<7,'female div/sep/mar',X<25,skilled,yes
422,0<=X<200,paid,car,2K<=X<3K,0,1<=X<4,'male single',30<=X<40,skilled,yes
423,0<=X<200,'critical/other existing credit',car,X<1K,<100,4<=X<7,'male single',40<=X<50,unskilled,yes
424,'no checking','delayed previously',furniture,1K<=X<2K,100<=X<500,4<=X<7,'male single',30<=X<40,'highly skilled',yes
425,0<=X<200,paid,furniture,2K<=X<3K,0,>=7,'female div/sep/mar',25<=X<30,skilled,no
427,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,<100,>=7,'male single',25<=X<30,skilled,yes
428,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,>=1000,1<=X<4,'male single',40<=X<50,skilled,yes
429,'no checking',paid,furniture,1K<=X<2K,<100,>=7,'male single',X<25,skilled,yes
430,<0,'critical/other existing credit',repairs,1K<=X<2K,<100,unemployed,'female div/sep/mar',X>=50,unskilled,no
431,'no checking',paid,business,3K<=X<4K,<100,4<=X<7,'male single',X>=50,unskilled,yes
432,0<=X<200,paid,other,X>=10K,<100,1<=X<4,'male single',25<=X<30,'highly skilled',no
433,<0,'critical/other existing credit',furniture,1K<=X<2K,<100,unemployed,'male single',30<=X<40,'highly skilled',yes
434,'no checking','critical/other existing credit',repairs,2K<=X<3K,<100,1<=X<4,'male div/sep',30<=X<40,skilled,yes
435,<0,paid,furniture,2K<=X<3K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
436,0<=X<200,paid,radio/tv,1K<=X<2K,0,1<=X<4,'male mar/wid',25<=X<30,skilled,no
437,'no checking',paid,repairs,X<1K,500<=X<1000,4<=X<7,'male mar/wid',X<25,unskilled,yes
438,'no checking','critical/other existing credit',car,1K<=X<2K,>=1000,>=7,'female div/sep/mar',30<=X<40,skilled,yes
439,<0,'critical/other existing credit',repairs,3K<=X<4K,<100,unemployed,'male single',X>=50,unskilled,yes
440,>=200,paid,business,X<1K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
441,'no checking',paid,car,1K<=X<2K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
442,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
443,0<=X<200,'delayed previously',other,2K<=X<3K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
444,'no checking',paid,education,X<1K,<100,>=7,'male single',40<=X<50,unskilled,no
445,0<=X<200,'critical/other existing credit',furniture,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',30<=X<40,'highly skilled',no
446,'no checking','critical/other existing credit',education,1K<=X<2K,0,>=7,'female div/sep/mar',40<=X<50,unskilled,yes
447,<0,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,skilled,no
448,0<=X<200,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
449,>=200,paid,furniture,1K<=X<2K,0,>=7,'female div/sep/mar',X>=50,'highly skilled',yes
450,0<=X<200,'delayed previously',repairs,1K<=X<2K,>=1000,1<=X<4,'male mar/wid',X>=50,skilled,no
451,'no checking','critical/other existing credit',car,X>=10K,0,1<=X<4,'male single',30<=X<40,'highly skilled',yes
452,'no checking',paid,radio/tv,X<1K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
453,'no checking',paid,furniture,2K<=X<3K,<100,>=7,'male single',30<=X<40,skilled,yes
454,'no checking',paid,car,2K<=X<3K,<100,>=7,'male single',30<=X<40,'highly skilled',yes
455,<0,paid,car,4K<=X<5K,<100,4<=X<7,'male single',30<=X<40,skilled,no
456,'no checking',paid,car,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,'highly skilled',yes
457,<0,'critical/other existing credit',car,3K<=X<4K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
458,<0,paid,car,3K<=X<4K,<100,>=7,'male single',30<=X<40,skilled,no
459,<0,paid,furniture,X<1K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
460,'no checking',paid,radio/tv,4K<=X<5K,<100,<1,'male single',30<=X<40,skilled,yes
462,<0,paid,car,1K<=X<2K,<100,<1,'male single',30<=X<40,skilled,yes
463,0<=X<200,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',30<=X<40,'highly skilled',yes
464,0<=X<200,paid,other,X<1K,0,>=7,'male single',30<=X<40,skilled,yes
465,'no checking',paid,business,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
466,<0,paid,car,2K<=X<3K,<100,1<=X<4,'male single',X>=50,skilled,yes
467,<0,'delayed previously',radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
468,'no checking','delayed previously',radio/tv,5K<=X<10K,0,>=7,'male single',30<=X<40,skilled,yes
469,'no checking','delayed previously',business,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
473,<0,paid,car,X<1K,<100,1<=X<4,'male single',25<=X<30,unskilled,no
474,'no checking',paid,other,1K<=X<2K,0,unemployed,'male single',30<=X<40,'highly skilled',yes
475,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'male mar/wid',30<=X<40,skilled,no
476,<0,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',25<=X<30,skilled,no
477,'no checking',paid,car,2K<=X<3K,500<=X<1000,1<=X<4,'male single',X<25,skilled,yes
478,>=200,paid,radio/tv,5K<=X<10K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
479,0<=X<200,paid,business,1K<=X<2K,100<=X<500,4<=X<7,'male single',30<=X<40,unskilled,yes
480,<0,'critical/other existing credit',furniture,1K<=X<2K,<100,>=7,'male single',40<=X<50,skilled,yes
481,0<=X<200,'critical/other existing credit',radio/tv,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',X<25,unskilled,yes
482,0<=X<200,paid,car,1K<=X<2K,<100,<1,'male single',25<=X<30,skilled,yes
483,<0,paid,furniture,3K<=X<4K,>=1000,>=7,'female div/sep/mar',X>=50,skilled,yes
484,'no checking','delayed previously',furniture,X<1K,>=1000,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
485,'no checking','critical/other existing credit',car,1K<=X<2K,500<=X<1000,1<=X<4,'male single',40<=X<50,skilled,yes
486,0<=X<200,'delayed previously',car,1K<=X<2K,<100,unemployed,'male single',40<=X<50,'highly skilled',no
487,'no checking',paid,radio/tv,3K<=X<4K,<100,1<=X<4,'male single',X>=50,skilled,yes
488,'no checking',paid,car,3K<=X<4K,<100,>=7,'female div/sep/mar',X>=50,skilled,yes
489,'no checking',paid,car,1K<=X<2K,100<=X<500,1<=X<4,'male single',30<=X<40,unskilled,yes
490,'no checking',paid,car,3K<=X<4K,<100,1<=X<4,'male single',25<=X<30,skilled,yes
491,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,>=7,'male single',25<=X<30,skilled,yes
492,0<=X<200,paid,business,5K<=X<10K,<100,>=7,'female div/sep/mar',40<=X<50,'highly skilled',no
494,0<=X<200,paid,radio/tv,X<1K,0,>=7,'male single',30<=X<40,skilled,yes
495,<0,'critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
496,<0,paid,furniture,2K<=X<3K,0,1<=X<4,'male mar/wid',X<25,skilled,no
497,0<=X<200,paid,furniture,5K<=X<10K,100<=X<500,<1,'male single',25<=X<30,'highly skilled',no
498,'no checking','critical/other existing credit',furniture,1K<=X<2K,<100,4<=X<7,'male single',40<=X<50,skilled,yes
499,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'male mar/wid',30<=X<40,unskilled,yes
500,>=200,'critical/other existing credit',car,1K<=X<2K,100<=X<500,>=7,'male div/sep',25<=X<30,skilled,yes
501,<0,paid,car,3K<=X<4K,<100,<1,'female div/sep/mar',25<=X<30,skilled,no
502,<0,paid,car,5K<=X<10K,<100,>=7,'male single',40<=X<50,skilled,yes
503,>=200,paid,radio/tv,1K<=X<2K,100<=X<500,>=7,'male div/sep',40<=X<50,skilled,yes
504,0<=X<200,'critical/other existing credit',radio/tv,1K<=X<2K,100<=X<500,<1,'male single',30<=X<40,skilled,no
505,<0,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
506,'no checking',paid,car,1K<=X<2K,0,1<=X<4,'male single',25<=X<30,unskilled,no
507,>=200,'critical/other existing credit',car,2K<=X<3K,500<=X<1000,1<=X<4,'male single',30<=X<40,skilled,yes
508,0<=X<200,paid,car,5K<=X<10K,100<=X<500,unemployed,'male single',30<=X<40,'highly skilled',no
509,'no checking',paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male mar/wid',25<=X<30,skilled,yes
510,'no checking',paid,car,5K<=X<10K,100<=X<500,>=7,'male single',40<=X<50,'highly skilled',yes
511,<0,paid,car,X<1K,<100,4<=X<7,'male single',25<=X<30,skilled,no
